1	0	5	2020
1	1	5	2020
1	2	5	2020
1	3	5	2020
2	4	5	2018
2	5	5	2018
2	6	5	2018
2	7	5	2018
2	8	5	2018
2	9	5	2018
3	4	5	2011
3	10	5	2011
3	11	5	2011
3	12	5	2011
3	13	5	2011
3	5	5	2011
3	0	5	2011
4	14	5	2010
4	15	5	2010
4	16	5	2010
4	17	5	2010
5	18	5	2019
5	1	5	2019
5	0	5	2019
5	3	5	2019
5	19	5	2019
5	16	5	2019
5	20	5	2019
5	21	5	2019
6	22	5	2019
6	18	5	2019
6	20	5	2019
6	22	5	2019
6	3	5	2019
6	1	5	2019
6	0	5	2019
7	23	5	2017
7	4	5	2017
7	5	5	2017
7	7	5	2017
8	24	5	2019
8	7	5	2019
8	25	5	2019
8	26	5	2019
8	8	5	2019
8	27	5	2019
8	14	5	2019
9	4	5	2017
9	6	5	2017
9	28	5	2017
9	5	5	2017
9	29	5	2017
9	7	5	2017
10	5	5	2022
10	7	5	2022
10	30	5	2022
10	14	5	2022
10	31	5	2022
10	15	5	2022
11	23	5	2018
11	11	5	2018
11	33	5	2018
11	34	5	2018
12	24	5	2018
12	28	5	2018
12	30	5	2018
12	35	5	2018
13	16	5	2018
13	19	5	2018
13	1	5	2018
13	0	5	2018
13	3	5	2018
14	16	5	2019
14	19	5	2019
14	36	5	2019
16	14	5	2020
16	15	5	2020
16	16	5	2020
16	37	5	2020
18	4	5	2013
18	13	5	2013
18	12	5	2013
18	5	5	2013
18	0	5	2013
18	30	5	2013
19	4	5	2020
19	5	5	2020
19	1	5	2020
19	38	5	2020
19	29	5	2020
19	7	5	2020
19	39	5	2020
20	16	5	2019
20	19	5	2019
20	1	5	2019
20	0	5	2019
20	3	5	2019
21	23	5	2017
21	4	5	2017
21	6	5	2017
21	7	5	2017
21	40	5	2017
22	24	5	2020
22	8	5	2020
22	14	5	2020
22	41	5	2020
22	36	5	2020
22	31	5	2020
23	23	5	2018
23	5	5	2018
23	28	5	2018
23	42	5	2018
23	7	5	2018
23	39	5	2018
24	23	5	2016
24	43	5	2016
24	24	5	2016
24	5	5	2016
24	30	5	2016
24	3	5	2016
25	5	5	2009
25	12	5	2009
25	11	5	2009
25	44	5	2009
25	4	5	2009
26	45	5	2017
26	5	5	2017
26	46	5	2017
26	47	5	2017
26	48	5	2017
26	49	5	2017
26	50	5	2017
27	23	5	2019
27	51	5	2019
27	4	5	2019
27	5	5	2019
27	47	5	2019
27	52	5	2019
27	53	5	2019
27	54	5	2019
27	55	5	2019
28	52	5	2021
28	56	5	2021
28	57	5	2021
28	58	5	2021
29	60	5	2018
29	5	5	2018
29	47	5	2018
29	61	5	2018
29	48	5	2018
29	62	5	2018
30	45	5	2018
30	5	5	2018
30	46	5	2018
30	47	5	2018
30	50	5	2018
30	52	5	2018
30	56	5	2018
30	57	5	2018
31	45	5	2020
31	63	5	2020
31	64	5	2020
31	52	5	2020
31	56	5	2020
31	57	5	2020
31	65	5	2020
31	66	5	2020
31	67	5	2020
31	68	5	2020
32	23	5	2019
32	51	5	2019
32	4	5	2019
32	5	5	2019
32	47	5	2019
32	52	5	2019
32	53	5	2019
32	69	5	2019
33	0	5	2018
33	5	5	2018
33	70	5	2018
34	23	5	2018
34	52	5	2018
34	56	5	2018
34	71	5	2018
35	23	5	2017
35	51	5	2017
35	4	5	2017
35	5	5	2017
35	47	5	2017
35	52	5	2017
35	53	5	2017
36	60	5	2015
36	72	5	2015
36	73	5	2015
36	47	5	2015
36	48	5	2015
37	5	5	2019
37	52	5	2019
37	56	5	2019
37	57	5	2019
37	66	5	2019
39	23	5	2019
39	5	5	2019
39	47	5	2019
39	52	5	2019
39	54	5	2019
39	55	5	2019
39	74	5	2019
41	23	5	2016
41	5	5	2016
41	30	5	2016
41	46	5	2016
41	47	5	2016
41	61	5	2016
42	45	5	2019
42	5	5	2019
42	47	5	2019
42	50	5	2019
42	52	5	2019
42	75	5	2019
42	57	5	2019
42	67	5	2019
43	76	5	2017
43	77	5	2017
43	78	5	2017
43	79	5	2017
43	80	5	2017
44	47	5	2022
44	52	5	2022
44	53	5	2022
44	55	5	2022
44	81	5	2022
44	82	5	2022
44	83	5	2022
44	57	5	2022
45	23	5	2019
45	5	5	2019
45	7	5	2019
45	47	5	2019
45	52	5	2019
45	56	5	2019
45	57	5	2019
45	65	5	2019
46	5	5	2018
46	84	5	2018
46	50	5	2018
46	85	5	2018
46	86	5	2018
46	42	5	2018
47	76	5	2016
47	63	5	2016
47	87	5	2016
47	78	5	2016
48	76	5	2016
48	63	5	2016
48	88	5	2016
48	89	5	2016
48	77	5	2016
48	78	5	2016
48	79	5	2016
48	90	5	2016
49	5	5	2016
49	91	5	2016
49	92	5	2016
49	86	5	2016
50	63	5	2019
50	93	5	2019
50	86	5	2019
50	94	5	2019
50	95	5	2019
50	96	5	2019
50	8	5	2019
50	97	5	2019
51	44	5	2019
51	92	5	2019
51	91	5	2019
51	86	5	2019
51	96	5	2019
51	98	5	2019
52	44	5	2019
52	92	5	2019
52	91	5	2019
52	86	5	2019
52	96	5	2019
53	63	5	2019
53	5	5	2019
53	94	5	2019
53	86	5	2019
53	99	5	2019
54	91	5	2019
54	86	5	2019
54	100	5	2019
54	96	5	2019
54	92	5	2019
54	77	5	2019
55	96	5	2018
55	86	5	2018
55	100	5	2018
55	91	5	2018
55	92	5	2018
55	77	5	2018
56	92	5	2017
56	101	5	2017
56	77	5	2017
56	102	5	2017
56	103	5	2017
57	76	5	2019
57	63	5	2019
57	103	5	2019
57	93	5	2019
57	101	5	2019
57	64	5	2019
66	92	5	2017
66	101	5	2017
66	77	5	2017
66	102	5	2017
66	93	5	2017
67	5	5	2021
67	104	5	2021
67	105	5	2021
67	7	5	2021
67	106	5	2021
67	107	5	2021
67	108	5	2021
68	7	5	2022
68	80	5	2022
68	15	5	2022
68	56	5	2022
68	52	5	2022
68	110	5	2022
68	57	5	2022
68	111	5	2022
69	23	5	2021
69	52	5	2021
70	52	5	2021
70	113	5	2021
70	58	5	2021
70	114	5	2021
70	115	5	2021
71	52	5	2021
71	53	5	2021
71	55	5	2021
71	82	5	2021
71	116	5	2021
72	47	5	2022
72	53	5	2022
72	118	5	2022
72	48	5	2022
72	57	5	2022
73	119	5	2021
73	40	5	2021
73	7	5	2021
73	33	5	2021
73	3	5	2021
73	120	5	2021
73	121	5	2021
73	14	5	2021
73	122	5	2021
74	5	5	2020
74	30	5	2020
74	53	5	2020
74	57	5	2020
74	125	5	2020
74	126	5	2020
74	127	5	2020
74	128	5	2020
75	5	5	2022
75	63	5	2022
75	52	5	2022
75	57	5	2022
75	65	5	2022
75	67	5	2022
75	68	5	2022
77	79	5	2021
77	129	5	2021
78	23	5	2021
78	51	5	2021
78	4	5	2021
78	5	5	2021
78	47	5	2021
78	52	5	2021
78	53	5	2021
78	54	5	2021
78	55	5	2021
78	131	5	2021
79	5	5	2020
79	29	5	2020
79	52	5	2020
79	53	5	2020
79	94	5	2020
79	127	5	2020
80	52	5	2022
80	53	5	2022
80	56	5	2022
80	57	5	2022
80	65	5	2022
81	57	5	2022
81	65	5	2022
83	52	5	2021
83	134	5	2021
83	95	5	2021
83	93	5	2021
83	127	5	2021
84	135	5	2022
84	44	5	2022
85	5	5	2022
85	52	5	2022
85	7	5	2022
85	57	5	2022
86	44	5	2022
86	136	5	2022
86	78	5	2022
86	52	5	2022
86	56	5	2022
86	106	5	2022
86	110	5	2022
87	57	5	2021
87	52	5	2021
87	65	5	2021
87	125	5	2021
88	5	5	2022
88	7	5	2022
88	79	5	2022
88	52	5	2022
88	56	5	2022
88	53	5	2022
88	57	5	2022
88	65	5	2022
88	127	5	2022
88	139	5	2022
88	140	5	2022
88	55	5	2022
88	141	5	2022
89	143	5	2022
89	144	5	2022
90	47	5	2022
90	52	5	2022
91	47	5	2022
91	52	5	2022
91	53	5	2022
91	54	5	2022
91	55	5	2022
91	131	5	2022
91	146	5	2022
92	148	5	2022
92	52	5	2022
92	57	5	2022
92	55	5	2022
92	83	5	2022
93	73	5	2021
93	44	5	2021
93	20	5	2021
93	0	5	2021
93	2	5	2021
93	36	5	2021
93	21	5	2021
93	52	5	2021
93	57	5	2021
93	65	5	2021
93	69	5	2021
94	23	5	2021
94	5	5	2021
94	7	5	2021
94	86	5	2021
94	150	5	2021
94	95	5	2021
94	129	5	2021
95	23	5	2020
95	5	5	2020
95	4	5	2020
95	7	5	2020
95	151	5	2020
95	52	5	2020
95	152	5	2020
95	53	5	2020
95	54	5	2020
95	55	5	2020
95	153	5	2020
96	24	5	2022
96	86	5	2022
96	154	5	2022
96	97	5	2022
96	155	5	2022
97	52	5	2021
97	157	5	2021
99	52	5	2021
99	65	5	2021
99	158	5	2021
101	24	5	2021
101	86	5	2021
101	97	5	2021
102	23	5	2020
102	5	5	2020
102	7	5	2020
102	52	5	2020
102	57	5	2020
102	74	5	2020
102	68	5	2020
102	138	5	2020
104	23	5	2020
104	52	5	2020
104	56	5	2020
104	71	5	2020
106	28	5	2021
106	159	5	2021
106	160	5	2021
106	161	5	2021
106	162	5	2021
108	5	5	2021
108	11	5	2021
108	2	5	2021
108	164	5	2021
108	34	5	2021
108	165	5	2021
108	166	5	2021
108	14	5	2021
108	15	5	2021
108	167	5	2021
113	7	5	2020
113	159	5	2020
113	161	5	2020
113	15	5	2020
114	5	5	2021
114	15	5	2021
114	57	5	2021
115	51	5	2020
115	4	5	2020
115	47	5	2020
115	52	5	2020
115	53	5	2020
115	54	5	2020
115	145	5	2020
115	55	5	2020
115	170	5	2020
