paper_id,models,link,title,year
1184,FPMC;GRU4REC;NARM;SASREC;BERT4REC;LINFORMER;PERFORMER;LINTRANS;SYNTHESIZER;LIGHTSAN;PAUP,https://scholar.archive.org/work/b2eo45jxn5cmhg263ilwps4o7m/access/wayback/https://dl.acm.org/doi/pdf/10.1145/3477495.3531800,Progressive Self-Attention Network with Unsymmetrical Positional Encoding for Sequential Recommendation,2022
1185,GRU4REC;ATRANK;CASER;DIEN;TIEN,https://scholar.archive.org/work/462hk7dbhncnriywsanpdtovae/access/wayback/https://dl.acm.org/doi/pdf/10.1145/3477495.3531846,A New Sequential Prediction Framework with Spatial-temporal Embedding,2022
1186,POP;ANN;TTIR;GRU4REC;SASREC;HT4REC,https://scholar.archive.org/work/2ajzqeucwjctpi4vggzjigek3a/access/wayback/https://dl.acm.org/doi/pdf/10.1145/3511047.3537667,Hierarchical Transformers for Group-Aware Sequential Recommendation: Application in MOBA Games,2022
1187,NEXTITNET;NARM;SRGNN;GCSAN;SGNNHN;LESSR;NISER;DHCN;DSAN,https://arxiv.org/pdf/2206.12781.pdf,Efficiently Leveraging Multi-level User Intent for Session-based Recommendation via Atten-Mixer Network,2022
1188,POP;BPRMFPMC;LIGHTGCN;SRGNN;SASREC;BERT4REC;SATORI,https://scholar.archive.org/work/nfl5dvukdzfvji2oophyj5efga/access/wayback/https://dl.acm.org/doi/pdf/10.1145/3512527.3531390,Sequential Intention-aware Recommender based on User Interaction Graph,2022
1190,ITEMKNN;BPRMF;NCF;LIGHTGCN;VUIKNN;NCF;CONET;GRU4REC;HGRU4REC;NAIS;TIMELSTM;TGSREC;PINET;PSJNET;DAGCN;TIDAGCN,https://arxiv.org/pdf/2206.08050,Time Interval-enhanced Graph Neural Network for Shared-account Cross-domain Sequential Recommendation,2022
1191,GRU;CASER;NEXTITNET;SASREC,https://dl.acm.org/doi/pdf/10.1145/3477495.3531714,Rethinking Reinforcement Learning for Recommendation: A Prompt Perspective,2022
1192,SASREC;BERT4REC;FDSA;S3REC;CCDR;RECGURU;ZESREC;UNISREC,https://arxiv.org/pdf/2206.05941,Towards Universal Sequence Representation Learning for Recommender Systems,2022
1193,IDREC;IDGRU;IDNEXT;TRANSREC,https://arxiv.org/pdf/2206.06190,TransRec: Learning Transferable Recommendation from Mixture-of-Modality Feedback,2022
1194,POP;FPMC;GRU4REC;SASREC;BERT4REC;FDSA;ZESREC;S3REC;IDASR,https://arxiv.org/pdf/2206.02323,ID-Agnostic User Behavior Pre-training for Sequential Recommendation,2022
1195,SRGNN;NARM;GRU4REC,https://www.researchsquare.com/article/rs-1715647/latest.pdf,Disentangling Interest and Conformity for Eliminating Popularity Bias in Session-Based Recommendation,2022
1196,SSL;SSLPOP;MNS;GTOWER;BIR;XIR,https://arxiv.org/pdf/2205.14859,Cache-Augmented Inbatch Importance Resampling for Training Recommender Retriever,2022
1198,CASER;GRU4REC;SASREC;BERT4REC;HYBRIDBERT4REC,https://ieeexplore.ieee.org/iel7/6287639/9668973/09780356.pdf,HybridBERT4Rec: A Hybrid (Content-Based Filtering and Collaborative Filtering) Recommender System Based on BERT,2022
1199,BERT4REC;CL4REC;PPR,https://arxiv.org/pdf/2205.09666,Personalized Prompts for Sequential Recommendation,2022
1200,FPMC;FOSSIL;GRU4REC;NARM;HGN;SASREC;LIGHTSAN;HME;SRGNN;GCSAN;LESSR;PHGR,https://arxiv.org/pdf/2205.11233,Poincaré Heterogeneous Graph Neural Networks for Sequential Recommendation,2022
